YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,WS50M,ALLSKY_KT
2022,10,1,0,0.0,23.4,2.36,4.55,-999.0
2022,10,1,1,0.0,22.82,2.52,5.37,-999.0
2022,10,1,2,0.0,22.38,2.66,5.86,-999.0
2022,10,1,3,0.0,22.06,2.71,5.93,-999.0
2022,10,1,4,0.0,21.79,2.62,5.69,-999.0
2022,10,1,5,0.0,21.52,2.42,5.32,-999.0
2022,10,1,6,46.4,21.91,2.54,4.89,0.34
2022,10,1,7,241.27,23.72,3.27,4.01,0.54
2022,10,1,8,469.3,26.02,4.1,5.0,0.65
2022,10,1,9,669.88,27.94,4.23,4.95,0.7
2022,10,1,10,811.42,29.59,3.96,4.55,0.73
2022,10,1,11,886.42,30.77,3.68,4.21,0.74
2022,10,1,12,906.4,31.5,3.49,3.98,0.76
2022,10,1,13,823.05,31.85,3.33,3.82,0.74
2022,10,1,14,674.33,31.87,3.22,3.75,0.71
2022,10,1,15,474.4,31.62,3.04,3.71,0.66
2022,10,1,16,248.55,31.01,2.63,3.71,0.56
2022,10,1,17,46.22,29.38,2.28,3.64,0.35
2022,10,1,18,0.0,27.28,2.01,3.52,-999.0
2022,10,1,19,0.0,26.69,2.05,3.57,-999.0
2022,10,1,20,0.0,26.04,2.17,3.94,-999.0
2022,10,1,21,0.0,25.32,2.4,4.71,-999.0
2022,10,1,22,0.0,24.64,2.65,5.73,-999.0
2022,10,1,23,0.0,24.02,3.2,6.53,-999.0
2022,10,2,0,0.0,23.58,4.0,6.85,-999.0
2022,10,2,1,0.0,23.27,4.32,6.95,-999.0
2022,10,2,2,0.0,23.11,4.08,6.88,-999.0
2022,10,2,3,0.0,22.83,3.33,6.3,-999.0
2022,10,2,4,0.0,22.47,2.8,5.97,-999.0
2022,10,2,5,0.0,22.17,2.53,5.65,-999.0
2022,10,2,6,48.0,22.54,2.58,5.17,0.36
2022,10,2,7,247.93,24.67,3.62,4.55,0.56
2022,10,2,8,468.4,26.62,3.88,4.61,0.65
2022,10,2,9,661.15,28.18,3.46,3.98,0.69
2022,10,2,10,798.85,29.45,3.1,3.53,0.72
2022,10,2,11,868.25,30.43,2.88,3.27,0.73
2022,10,2,12,882.38,31.09,2.76,3.15,0.74
2022,10,2,13,753.67,31.36,2.7,3.08,0.68
2022,10,2,14,646.28,31.27,2.65,3.05,0.68
2022,10,2,15,464.7,31.02,2.57,3.02,0.65
2022,10,2,16,247.85,30.43,2.22,2.99,0.57
2022,10,2,17,45.62,29.19,1.98,2.94,0.36
2022,10,2,18,0.0,27.35,1.68,2.76,-999.0
2022,10,2,19,0.0,27.02,1.6,2.53,-999.0
2022,10,2,20,0.0,26.69,1.54,2.39,-999.0
2022,10,2,21,0.0,26.07,1.6,2.54,-999.0
2022,10,2,22,0.0,25.19,1.8,3.01,-999.0
2022,10,2,23,0.0,24.39,2.02,3.64,-999.0
2022,10,3,0,0.0,23.73,2.15,4.26,-999.0
2022,10,3,1,0.0,23.18,2.22,4.77,-999.0
2022,10,3,2,0.0,22.81,2.41,5.21,-999.0
2022,10,3,3,0.0,22.66,2.92,5.63,-999.0
2022,10,3,4,0.0,22.57,3.19,5.95,-999.0
2022,10,3,5,0.0,22.4,3.11,6.12,-999.0
2022,10,3,6,50.1,22.64,3.33,5.93,0.38
2022,10,3,7,261.05,24.37,4.03,4.98,0.59
2022,10,3,8,489.25,26.63,4.06,4.8,0.68
2022,10,3,9,687.38,28.31,3.5,3.98,0.72
2022,10,3,10,827.38,29.59,2.83,3.14,0.75
2022,10,3,11,858.78,30.5,2.46,2.75,0.72
2022,10,3,12,853.0,31.06,2.34,2.61,0.72
2022,10,3,13,749.65,31.35,2.25,2.53,0.68
2022,10,3,14,636.62,31.37,2.18,2.45,0.68
2022,10,3,15,446.55,31.11,2.07,2.35,0.63
2022,10,3,16,235.8,30.53,1.73,2.22,0.55
2022,10,3,17,43.75,29.5,1.49,2.08,0.36
2022,10,3,18,0.0,28.11,1.22,1.92,-999.0
2022,10,3,19,0.0,27.84,1.18,1.78,-999.0
2022,10,3,20,0.0,27.54,1.15,1.73,-999.0
2022,10,3,21,0.0,27.04,1.26,1.9,-999.0
2022,10,3,22,0.0,26.25,1.54,2.44,-999.0
2022,10,3,23,0.0,25.32,1.89,3.21,-999.0
2022,10,4,0,0.0,24.54,2.19,4.11,-999.0
2022,10,4,1,0.0,23.98,2.37,4.99,-999.0
2022,10,4,2,0.0,23.5,2.56,5.73,-999.0
2022,10,4,3,0.0,23.09,2.82,6.15,-999.0
2022,10,4,4,0.0,22.76,3.03,6.3,-999.0
2022,10,4,5,0.0,22.52,3.07,6.2,-999.0
2022,10,4,6,48.8,22.74,3.21,5.81,0.38
2022,10,4,7,258.3,24.52,3.88,4.71,0.59
2022,10,4,8,489.23,27.04,4.09,4.95,0.68
2022,10,4,9,682.4,29.16,3.95,4.58,0.72
2022,10,4,10,829.4,30.76,3.44,3.9,0.75
2022,10,4,11,896.7,31.86,3.05,3.43,0.75
2022,10,4,12,895.7,32.56,2.86,3.21,0.75
2022,10,4,13,814.35,32.92,2.82,3.19,0.74
2022,10,4,14,670.08,32.89,2.93,3.37,0.71
2022,10,4,15,472.4,32.64,2.89,3.51,0.67
2022,10,4,16,241.4,32.03,2.46,3.48,0.57
2022,10,4,17,40.33,30.24,2.06,3.18,0.35
2022,10,4,18,0.0,28.36,1.77,2.89,-999.0
2022,10,4,19,0.0,27.98,1.71,2.71,-999.0
2022,10,4,20,0.0,27.43,1.77,2.82,-999.0
2022,10,4,21,0.0,26.51,2.0,3.29,-999.0
2022,10,4,22,0.0,25.48,2.35,4.15,-999.0
2022,10,4,23,0.0,24.6,2.69,5.25,-999.0
2022,10,5,0,0.0,24.0,2.93,6.39,-999.0
2022,10,5,1,0.0,23.52,3.21,7.23,-999.0
2022,10,5,2,0.0,23.0,3.45,7.5,-999.0
2022,10,5,3,0.0,22.4,3.5,7.26,-999.0
2022,10,5,4,0.0,21.79,3.4,6.78,-999.0
2022,10,5,5,0.0,21.21,3.17,6.21,-999.0
2022,10,5,6,43.42,21.14,3.35,5.64,0.34
2022,10,5,7,234.7,22.58,3.65,4.23,0.54
2022,10,5,8,457.0,25.08,3.14,3.79,0.64
2022,10,5,9,652.0,28.01,4.24,5.17,0.69
2022,10,5,10,769.45,30.14,4.77,5.85,0.7
2022,10,5,11,857.33,31.5,4.81,5.93,0.72
2022,10,5,12,848.3,32.15,4.75,5.91,0.72
2022,10,5,13,778.28,32.24,4.66,5.92,0.71
2022,10,5,14,619.83,32.04,4.47,5.88,0.66
2022,10,5,15,417.88,31.59,3.93,5.68,0.59
2022,10,5,16,197.25,30.86,3.4,5.11,0.47
2022,10,5,17,31.25,29.06,2.18,3.87,0.28
2022,10,5,18,0.0,28.15,1.64,2.65,-999.0
2022,10,5,19,0.0,28.51,1.09,1.66,-999.0
2022,10,5,20,0.0,28.89,0.42,0.67,-999.0
2022,10,5,21,0.0,28.26,0.63,0.88,-999.0
2022,10,5,22,0.0,26.95,1.47,2.28,-999.0
2022,10,5,23,0.0,25.93,1.96,3.37,-999.0
2022,10,6,0,0.0,25.22,2.26,4.35,-999.0
2022,10,6,1,0.0,24.71,2.46,5.21,-999.0
2022,10,6,2,0.0,24.33,2.72,5.88,-999.0
2022,10,6,3,0.0,24.0,3.22,6.25,-999.0
2022,10,6,4,0.0,23.64,3.55,6.13,-999.0
2022,10,6,5,0.0,23.35,3.67,6.04,-999.0
2022,10,6,6,17.52,23.28,3.83,5.97,0.14
2022,10,6,7,91.9,24.05,3.96,4.88,0.21
2022,10,6,8,177.55,25.46,2.98,3.52,0.25
2022,10,6,9,338.5,27.01,2.38,2.75,0.36
2022,10,6,10,383.3,28.55,2.46,2.85,0.35
2022,10,6,11,311.27,29.89,2.41,2.76,0.26
2022,10,6,12,351.73,30.51,2.0,2.31,0.3
2022,10,6,13,392.48,30.6,1.56,1.86,0.36
2022,10,6,14,339.38,30.56,1.39,1.69,0.37
2022,10,6,15,267.83,30.45,1.35,1.83,0.38
2022,10,6,16,118.55,30.23,1.44,1.99,0.29
2022,10,6,17,19.33,29.11,1.2,1.93,0.18
2022,10,6,18,0.0,28.32,1.17,1.86,-999.0
2022,10,6,19,0.0,28.25,1.15,1.77,-999.0
2022,10,6,20,0.0,28.2,0.95,1.41,-999.0
2022,10,6,21,0.0,28.2,0.59,0.84,-999.0
2022,10,6,22,0.0,27.92,0.41,0.58,-999.0
2022,10,6,23,0.0,27.11,0.52,0.76,-999.0
2022,10,7,0,0.0,26.35,0.8,1.2,-999.0
2022,10,7,1,0.0,25.52,1.11,1.77,-999.0
2022,10,7,2,0.0,24.81,1.41,2.44,-999.0
2022,10,7,3,0.0,24.35,1.67,3.26,-999.0
2022,10,7,4,0.0,24.04,1.82,3.93,-999.0
2022,10,7,5,0.0,23.87,1.94,4.36,-999.0
2022,10,7,6,25.48,23.9,2.09,4.55,0.21
2022,10,7,7,136.68,24.67,2.95,4.17,0.32
2022,10,7,8,266.48,25.5,2.91,3.4,0.37
2022,10,7,9,373.77,27.05,2.97,3.56,0.4
2022,10,7,10,468.88,28.22,3.51,4.25,0.43
2022,10,7,11,576.7,28.85,4.02,4.87,0.49
2022,10,7,12,530.95,29.18,4.33,5.28,0.45
2022,10,7,13,356.2,29.27,4.42,5.44,0.33
2022,10,7,14,318.35,29.17,4.28,5.43,0.34
2022,10,7,15,214.2,28.82,3.92,5.33,0.31
2022,10,7,16,115.18,28.1,3.18,5.01,0.28
2022,10,7,17,16.8,26.98,2.27,4.69,0.16
2022,10,7,18,0.0,26.05,2.19,4.82,-999.0
2022,10,7,19,0.0,25.74,2.32,5.18,-999.0
2022,10,7,20,0.0,25.4,2.5,5.67,-999.0
2022,10,7,21,0.0,25.0,2.73,6.15,-999.0
2022,10,7,22,0.0,24.59,2.97,6.44,-999.0
